2023-11-05 08:31:51 status installed ncurses-base:all 6.1+20181013-2+deb10u2
2023-11-05 08:31:51 configure gcc-8-base:armel 8.3.0-6 <none>
2023-11-05 08:31:51 status unpacked gcc-8-base:armel 8.3.0-6
2023-11-05 08:31:51 status half-configured gcc-8-base:armel 8.3.0-6
2023-11-05 08:31:51 status installed gcc-8-base:armel 8.3.0-6
2023-11-05 08:31:51 configure libc6:armel 2.28-10+deb10u1 <none>
2023-11-05 08:31:51 status unpacked libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:51 status half-configured libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:52 status installed libc6:armel 2.28-10+deb10u1
2023-11-05 08:31:52 configure libudev1:armel 241-7~deb10u8 <none>
2023-11-05 08:31:52 status unpacked libudev1:armel 241-7~deb10u8
2023-11-05 08:31:52 status half-configured libudev1:armel 241-7~deb10u8
2023-11-05 08:31:52 status installed libudev1:armel 241-7~deb10u8
2023-11-05 08:31:52 configure libsepol1:armel 2.8-1 <none>
2023-11-05 08:31:52 status unpacked libsepol1:armel 2.8-1
2023-11-05 08:31:52 status half-configured libsepol1:armel 2.8-1
2023-11-05 08:31:52 status installed libsepol1:armel 2.8-1
2023-11-05 08:31:52 configure libattr1:armel 1:2.4.48-4 <none>
2023-11-05 08:31:52 status unpacked libattr1:armel 1:2.4.48-4
2023-11-05 08:31:52 status half-configured libattr1:armel 1:2.4.48-4
2023-11-05 08:31:52 status installed libattr1:armel 1:2.4.48-4
2023-11-05 08:31:52 configure libtasn1-6:armel 4.13-3 <none>
2023-11-05 08:31:52 status unpacked libtasn1-6:armel 4.13-3
2023-11-05 08:31:52 status half-configured libtasn1-6:armel 4.13-3
2023-11-05 08:31:52 status installed libtasn1-6:armel 4.13-3
2023-11-05 08:31:52 configure debianutils:armel 4.8.6.1 <none>
2023-11-05 08:31:52 status unpacked debianutils:armel 4.8.6.1
2023-11-05 08:31:52 status half-configured debianutils:armel 4.8.6.1
2023-11-05 08:31:52 status installed debianutils:armel 4.8.6.1
2023-11-05 08:31:52 configure mawk:armel 1.3.3-17+b3 <none>
2023-11-05 08:31:52 status unpacked mawk:armel 1.3.3-17+b3
2023-11-05 08:31:52 status half-configured mawk:armel 1.3.3-17+b3
2023-11-05 08:31:52 status installed mawk:armel 1.3.3-17+b3
2023-11-05 08:31:52 configure libdebconfclient0:armel 0.249 <none>
2023-11-05 08:31:52 status unpacked libdebconfclient0:armel 0.249
2023-11-05 08:31:52 status half-configured libdebconfclient0:armel 0.249
2023-11-05 08:31:52 status installed libdebconfclient0:armel 0.249
2023-11-05 08:31:52 configure base-files:armel 10.3+deb10u13 <none>
2023-11-05 08:31:52 status unpacked base-files:armel 10.3+deb10u13
2023-11-05 08:31:52 status half-configured base-files:armel 10.3+deb10u13
2023-11-05 08:31:53 status installed base-files:armel 10.3+deb10u13
2023-11-05 08:31:53 configure libbz2-1.0:armel 1.0.6-9.2~deb10u1 <none>
2023-11-05 08:31:53 status unpacked libbz2-1.0:armel 1.0.6-9.2~deb10u1
2023-11-05 08:31:53 status half-configured libbz2-1.0:armel 1.0.6-9.2~deb10u1
2023-11-05 08:31:53 status installed libbz2-1.0:armel 1.0.6-9.2~deb10u1
2023-11-05 08:31:53 configure base-passwd:armel 3.5.46 <none>
2023-11-05 08:31:53 status unpacked base-passwd:armel 3.5.46
2023-11-05 08:31:53 status half-configured base-passwd:armel 3.5.46
